Month,Day,Version,Shop,Hour,Volume
8,2,actual,unbalance,3,-22.64
8,2,plan,Total,3,5033
8,2,plan,KP,3,2652.32
8,2,plan,MP,3,2380.62
8,2,actual,Total,4,4711.08
8,2,actual,KP,4,2306.25
8,2,actual,MP,4,2404.83
8,2,actual,unbalance,4,-233.08
8,2,plan,Total,4,4478
8,2,plan,KP,4,2193.14
8,2,plan,MP,4,2285.3
8,2,actual,Total,5,4428.06
8,2,actual,KP,5,2424.36
8,2,actual,MP,5,2003.71
8,2,actual,unbalance,5,138.94
8,2,plan,Total,5,4567
8,2,plan,KP,5,2366.2
8,2,plan,MP,5,2200.4
8,2,actual,Total,6,4618.27
8,2,actual,KP,6,2552.19
8,2,actual,MP,6,2066.08
8,2,actual,unbalance,6,-290.27
8,2,plan,Total,6,4328
8,2,plan,KP,6,2366.2
8,2,plan,MP,6,1962.07
8,2,actual,Total,7,4710.09
8,2,actual,KP,7,2621.41
8,2,actual,MP,7,2088.68
8,2,actual,unbalance,7,-344.09
8,2,plan,Total,7,4366
8,2,plan,KP,7,2366.2
8,2,plan,MP,7,2000.07
8,2,actual,Total,8,4814.33
8,2,actual,KP,8,2558.08
8,2,actual,MP,8,2256.25
8,2,actual,unbalance,8,-199.33
8,2,plan,Total,8,4615
8,2,plan,KP,8,2234.09
8,2,plan,MP,8,2380.62
8,2,actual,Total,9,4719.79
8,2,actual,KP,9,2294.39
8,2,actual,MP,9,2425.39
8,2,actual,unbalance,9,-326.79
8,2,plan,Total,9,4393
8,2,plan,KP,9,2393.1
8,2,plan,MP,9,2000.07
8,2,actual,Total,10,4671.5
8,2,actual,KP,10,2487.48
8,2,actual,MP,10,2184.02
8,2,actual,unbalance,10,-437.5
8,2,plan,Total,10,4234
8,2,plan,KP,10,2234.09
8,2,plan,MP,10,2000.07
8,2,actual,Total,11,5239.71
8,2,actual,KP,11,2645.9
8,2,actual,MP,11,2593.81
8,2,actual,unbalance,11,-805.71
8,2,plan,Total,11,4434
8,2,plan,KP,11,2234.09
8,2,plan,MP,11,2200.4
8,2,actual,Total,12,4846.64
8,2,actual,KP,12,2419.75
8,2,actual,MP,12,2426.89
8,2,actual,unbalance,12,-480.64
8,2,plan,Total,12,4366
8,2,plan,KP,12,2366.2
8,2,plan,MP,12,2000.07
8,2,actual,Total,13,4896.75
8,2,actual,KP,13,2354.37
8,2,actual,MP,13,2542.37
8,2,actual,unbalance,13,-658.75
8,2,plan,Total,13,4238
8,2,plan,KP,13,2234.09
8,2,plan,MP,13,2003.71
8,2,actual,Total,14,4580.53
8,2,actual,KP,14,2451.58
8,2,actual,MP,14,2128.95
8,2,actual,unbalance,14,212.47
8,2,plan,Total,14,4793
8,2,plan,KP,14,2366.2
8,2,plan,MP,14,2426.89
8,2,actual,Total,15,4847.45
8,2,actual,KP,15,2564.27
8,2,actual,MP,15,2283.18
8,2,actual,unbalance,15,-24.45
8,2,plan,Total,15,4823
8,2,plan,KP,15,2366.2
8,2,plan,MP,15,2456.89
8,2,actual,Total,16,4418.15
8,2,actual,KP,16,2221.91
8,2,actual,MP,16,2196.24
8,2,actual,unbalance,16,-52.15
8,2,plan,Total,16,4366
8,2,plan,KP,16,2366.2
8,2,plan,MP,16,2000.07
8,2,actual,Total,17,4324.34
8,2,actual,KP,17,2490.86
8,2,actual,MP,17,1833.48
8,2,actual,unbalance,17,522.66
8,2,plan,Total,17,4847
8,2,plan,KP,17,2564.27
8,2,plan,MP,17,2283.18
8,2,actual,Total,18,4513.02
8,2,actual,KP,18,2489.46
8,2,actual,MP,18,2023.56
8,2,actual,unbalance,18,333.98
8,2,plan,Total,18,4847
8,2,plan,KP,18,2564.27
8,2,plan,MP,18,2283.18
8,2,actual,Total,19,4713.59
8,2,actual,KP,19,2591.19
8,2,actual,MP,19,2122.4
8,2,actual,unbalance,19,-261.59
8,2,plan,Total,19,4452
8,2,plan,KP,19,2451.58
8,2,plan,MP,19,2000.07
8,2,actual,Total,20,4689.18
8,2,actual,KP,20,2630.54
8,2,actual,MP,20,2058.64
8,2,actual,unbalance,20,-40.18
8,2,plan,Total,20,4649
